species,lon,lat,ROUGHN,ALTITUDE,APAN_MEAN_,PPTCV,FROST_DURT,HTUNT,MAX01,MIN07,MEAN_AN_PR,NDVI,RAIN_CONCE,SMDSUM,SMDWIN,FERT1,FERT2,FERT3,FERT4,TEXT1,TEXT2,TEXT3,TEXT4,PH1,PH2,PH3,fold.assignment,ID
1,23.2,-33.4,323.0,1236.0,2191.6,31.1,132.0,7.4,29.3,1.1,494.0,95.0,13.0,20.4,33.6,100.0,0.0,0.0,0.0,0.0,0.0,62.0,38.0,100.0,0.0,0,2,314
1,23.3,-33.4,265.0,1284.0,2156.5,29.7,133.0,6.2,29.0,0.8,557.0,90.0,13.0,21.8,35.4,100.0,0.0,0.0,0.0,0.0,0.0,41.0,59.0,100.0,0.0,0,2,315
1,21.3,-33.4,471.0,1966.0,1805.5,32.6,184.0,0.0,23.6,-0.8,427.0,81.0,9.0,19.1,50.7,89.0,0.0,11.0,0.0,0.0,11.0,10.0,79.0,89.0,11.0,0,2,317
1,22.3,-33.4,386.0,882.0,2148.6,26.2,111.0,13.5,30.6,3.1,711.0,163.0,5.0,25.3,47.1,8.0,0.0,86.0,6.0,0.0,92.0,0.0,8.0,8.0,86.0,6,2,328
1,22.4,-33.4,653.0,1078.0,2132.9,26.2,115.0,11.8,30.3,2.7,710.0,150.0,5.0,25.0,47.3,47.0,0.0,53.0,0.0,0.0,53.0,0.0,47.0,47.0,53.0,0,2,329
1,22.4,-33.4,684.0,1274.0,2071.7,25.7,138.0,7.2,29.2,1.5,732.0,145.0,5.0,25.0,47.3,91.0,0.0,9.0,0.0,0.0,9.0,0.0,91.0,91.0,9.0,0,2,330
1,22.4,-33.4,819.0,1298.0,2057.8,26.3,157.0,4.5,28.5,0.7,706.0,136.0,6.0,23.6,45.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,331
1,22.4,-33.4,645.0,1627.0,2008.7,25.1,162.0,2.8,27.9,0.0,759.0,134.0,7.0,24.2,47.1,94.0,0.0,6.0,0.0,0.0,6.0,6.0,88.0,94.0,6.0,0,2,332
1,22.7,-33.4,312.0,1323.0,2215.6,33.6,150.0,5.6,28.8,1.2,383.0,94.0,15.0,16.3,31.7,100.0,0.0,0.0,0.0,0.0,0.0,9.0,91.0,100.0,0.0,0,2,340
1,22.8,-33.4,221.0,1123.0,2284.4,36.5,141.0,7.8,29.3,1.8,258.0,91.0,16.0,14.4,28.0,63.0,0.0,15.0,22.0,0.0,22.0,66.0,12.0,63.0,37.0,0,2,341
1,21.3,-33.4,549.0,1388.0,2106.9,32.4,157.0,3.8,27.8,1.7,437.0,116.0,8.0,17.9,35.0,85.0,0.0,15.0,0.0,0.0,15.0,8.0,77.0,85.0,15.0,0,2,352
1,21.3,-33.4,631.0,1455.0,2118.8,33.0,160.0,3.3,27.7,1.6,410.0,94.0,8.0,17.4,34.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,353
1,21.4,-33.4,549.0,1690.0,2096.9,31.4,145.0,2.6,27.4,1.4,480.0,91.0,8.0,18.6,36.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,354
1,22.1,-33.4,381.0,995.0,2247.2,33.1,119.0,10.5,30.1,2.3,405.0,121.0,3.0,18.6,34.8,0.0,0.0,31.0,69.0,68.0,32.0,0.0,0.0,0.0,99.0,1,2,362
1,22.1,-33.4,397.0,985.0,2273.3,34.0,118.0,11.2,30.2,2.5,367.0,117.0,3.0,17.8,33.5,0.0,0.0,35.0,65.0,64.0,36.0,0.0,0.0,0.0,99.0,1,2,363
